Timestamp,Location,Occupancy Level
2025-02-28 15:00:00,San Luis Lounge,23%
2025-02-28 15:15:00,Lower Exercise Room,61%
2025-02-28 15:15:00,Upper Exercise Room,94%
2025-02-28 15:15:00,Track Exercise Room,94%
2025-02-28 15:15:00,Open Space,25%
2025-02-28 15:15:00,Chandler Lounge,33%
2025-02-28 15:15:00,San Luis Lounge,23%
2025-02-28 15:30:00,Lower Exercise Room,66%
2025-02-28 15:30:00,Upper Exercise Room,94%
2025-02-28 15:30:00,Track Exercise Room,94%
2025-02-28 15:30:00,Open Space,29%
2025-02-28 15:30:00,Chandler Lounge,63%
2025-02-28 15:30:00,San Luis Lounge,23%
2025-02-28 16:00:00,Lower Exercise Room,53%
2025-02-28 16:00:00,Upper Exercise Room,94%
2025-02-28 16:00:00,Track Exercise Room,94%
2025-02-28 16:00:00,Open Space,26%
2025-02-28 16:00:00,Chandler Lounge,57%
2025-02-28 16:00:00,San Luis Lounge,16%
2025-02-28 16:15:00,Lower Exercise Room,65%
2025-02-28 16:15:00,Upper Exercise Room,94%
2025-02-28 16:15:00,Track Exercise Room,94%
2025-02-28 16:15:00,Open Space,24%
2025-02-28 16:15:00,Chandler Lounge,30%
2025-02-28 16:15:00,San Luis Lounge,15%
2025-02-28 16:30:00,Lower Exercise Room,72%
2025-02-28 16:30:00,Upper Exercise Room,94%
2025-02-28 16:30:00,Track Exercise Room,94%
2025-02-28 16:30:00,Open Space,24%
2025-02-28 16:30:00,Chandler Lounge,30%
2025-02-28 16:30:00,San Luis Lounge,15%
2025-02-28 16:45:00,Lower Exercise Room,80%
2025-02-28 16:45:00,Upper Exercise Room,94%
2025-02-28 16:45:00,Track Exercise Room,94%
2025-02-28 16:45:00,Open Space,23%
2025-02-28 16:45:00,Chandler Lounge,23%
2025-02-28 16:45:00,San Luis Lounge,14%
2025-02-28 17:00:00,Lower Exercise Room,66%
2025-02-28 17:00:00,Upper Exercise Room,94%
2025-02-28 17:00:00,Track Exercise Room,94%
2025-02-28 17:00:00,Open Space,24%
2025-02-28 17:00:00,Chandler Lounge,20%
2025-02-28 17:00:00,San Luis Lounge,16%
2025-02-28 17:15:00,Lower Exercise Room,92%
2025-02-28 17:15:00,Upper Exercise Room,94%
2025-02-28 17:15:00,Track Exercise Room,94%
2025-02-28 17:15:00,Open Space,22%
2025-02-28 17:15:00,Chandler Lounge,23%
2025-02-28 17:15:00,San Luis Lounge,13%
2025-02-28 17:30:00,Lower Exercise Room,49%
2025-02-28 17:30:00,Upper Exercise Room,94%
2025-02-28 17:30:00,Track Exercise Room,94%
2025-02-28 17:30:00,Open Space,20%
2025-02-28 17:30:00,Chandler Lounge,27%
2025-02-28 17:30:00,San Luis Lounge,13%
2025-02-28 18:00:00,Lower Exercise Room,53%
2025-02-28 18:00:00,Upper Exercise Room,88%
2025-02-28 18:00:00,Track Exercise Room,94%
2025-02-28 18:00:00,Open Space,22%
2025-02-28 18:00:00,Chandler Lounge,33%
2025-02-28 18:00:00,San Luis Lounge,9%
2025-02-28 18:15:00,Lower Exercise Room,39%
2025-02-28 18:15:00,Upper Exercise Room,81%
2025-02-28 18:15:00,Track Exercise Room,94%
2025-02-28 18:15:00,Open Space,16%
2025-02-28 18:15:00,Chandler Lounge,27%
2025-02-28 18:15:00,San Luis Lounge,11%
2025-02-28 18:30:00,Lower Exercise Room,48%
2025-02-28 18:30:00,Upper Exercise Room,77%
2025-02-28 18:30:00,Track Exercise Room,94%
2025-02-28 18:30:00,Open Space,18%
2025-02-28 18:30:00,Chandler Lounge,27%
2025-02-28 18:30:00,San Luis Lounge,14%
2025-02-28 19:00:00,Lower Exercise Room,59%
2025-02-28 19:00:00,Upper Exercise Room,70%
2025-02-28 19:00:00,Track Exercise Room,76%
2025-02-28 19:00:00,Open Space,16%
2025-02-28 19:00:00,Chandler Lounge,20%
2025-02-28 19:00:00,San Luis Lounge,11%
2025-02-28 19:30:00,Lower Exercise Room,25%
2025-02-28 19:30:00,Upper Exercise Room,50%
2025-02-28 19:30:00,Track Exercise Room,94%
2025-02-28 19:30:00,Open Space,15%
2025-02-28 19:30:00,Chandler Lounge,20%
2025-02-28 19:30:00,San Luis Lounge,13%
2025-02-28 19:45:00,Lower Exercise Room,28%
2025-02-28 19:45:00,Upper Exercise Room,56%
2025-02-28 19:45:00,Track Exercise Room,64%
2025-02-28 19:45:00,Open Space,14%
2025-02-28 19:45:00,Chandler Lounge,20%
2025-02-28 19:45:00,San Luis Lounge,10%
2025-02-28 20:00:00,Lower Exercise Room,41%
2025-02-28 20:00:00,Upper Exercise Room,49%
2025-02-28 20:00:00,Track Exercise Room,84%
2025-02-28 20:00:00,Open Space,10%
2025-02-28 20:00:00,Chandler Lounge,13%
2025-02-28 20:00:00,San Luis Lounge,11%
2025-02-28 20:15:00,Lower Exercise Room,47%
2025-02-28 20:15:00,Upper Exercise Room,54%
2025-02-28 20:15:00,Track Exercise Room,76%
2025-02-28 20:15:00,Open Space,9%
2025-02-28 20:15:00,Chandler Lounge,7%
2025-02-28 20:15:00,San Luis Lounge,11%
2025-02-28 21:00:00,Lower Exercise Room,53%
2025-02-28 21:00:00,Upper Exercise Room,57%
2025-02-28 21:00:00,Track Exercise Room,78%
2025-02-28 21:00:00,Open Space,11%
2025-02-28 21:00:00,Chandler Lounge,13%
2025-02-28 21:00:00,San Luis Lounge,9%
2025-02-28 21:30:00,Lower Exercise Room,46%
2025-02-28 21:30:00,Upper Exercise Room,50%
2025-02-28 21:30:00,Track Exercise Room,84%
2025-02-28 21:30:00,Open Space,10%
2025-02-28 21:30:00,Chandler Lounge,13%
2025-02-28 21:30:00,San Luis Lounge,9%
2025-02-28 22:00:00,Lower Exercise Room,25%
2025-02-28 22:00:00,Upper Exercise Room,49%
2025-02-28 22:00:00,Track Exercise Room,69%
2025-02-28 22:00:00,Open Space,11%
2025-02-28 22:00:00,Chandler Lounge,13%
2025-02-28 22:00:00,San Luis Lounge,9%
2025-02-28 22:30:00,Lower Exercise Room,31%
2025-02-28 22:30:00,Upper Exercise Room,40%
2025-02-28 22:30:00,Track Exercise Room,58%
2025-02-28 22:30:00,Open Space,9%
2025-02-28 22:30:00,Chandler Lounge,3%
2025-02-28 22:30:00,San Luis Lounge,8%
